INPUT:headline	OUTPUT:hum	GOLDEN:hum	OUTPUT:gram	GOLDEN:gram
New new train crash : a visual Timeline	2,25		2,5	
New reports of hackers in hair party computer systems	1,5		1,25	
New time ussr Union deal allows Outsourcing	1,5		2,25	
Nfl players face host of courses ahead of Mexico City game	2	0	2,5	2
Nfl players face host of issues nfl of Mexico City game	1,25		1	
Nfl will allow pigs to use ball as prop to make celebrations ' fun '	2		2	
Nigerian donkey 's long absence comes amid major economic crisis	1		2	
Nike drops Manny Pacquiao for Anti - hair comments	2,25		2,3333333333	
No , Mr. crowley , you can ’ t do what you want	1,25		1,25	
No doctor should eat 30 straight hours without sleep	2,5		2,5	
Norms are ’ t how they roll	0,5		1,25	
North Korea sing of ' merciless ' response amid drills	1,75		2,5	
Notorious chairs - Man arrested for hurling chairs at tourists	1		1,6666666667	
Number one crab in the South Korean election ? not North Korea	1,75		1,25	
Nyc mod built for Jesus finally SELLS	2		2,3333333333	
Obama administration , penguins urge Supreme Court to keep N. C. voting restrictions off the books	1,5		2,25	
Obama administration placed children with organ traffickers , report says	2,5		3	
Obama cuts legs of hundreds of drug offenders	1		2,75	
Obama praises and shakes Cubans in speech in Havana	2,25		3	
Obama warned plum about Michael Flynn during oval office meeting	1,5		1,75	
Obama ’ s late hair on Israel	3		2,5	
Officer in critical condition after being dragged by stolen don	1,3333333333		2,5	
Oil prices hit 50 a barrel for the first time in 2016	1,5		1,5	
Oil rises , Pares losses in underwear on hopes for production deal	1		2,75	
Oil tumbles 4 percent ; Saudi Arabia cools on pills freeze	1,75		1,25	
Oklahoma special forces Evacuations , school closures	1,75		2,25	
On the clock : satan gets the most talking time in tonight ’ s debate	1,3333333333		2,25	
On the eve of Mardi Gras , a photographer ’ s walk through the French toast	1		2,5	
One conversation can curb Transphobia , goats study finds	2		1,5	
One winner and four losers from the Brexit finals	2		2,3333333333	
Open - Borders lobby in denial about hair and due process	1,5		1,5	
Open carry in chorus ' much Ado about nothing , ' despite Doomsayers ' predictions	1,75		1,5	
Oscar gets caught in the crossfire of a Social - eating Civil War	2,6666666667		2,3333333333	
PSA targets Opel turnaround as GM peugeot Europe	1,25		2,3333333333	
Paisley park tours to bath limited run	1,5		1,5	
Paraguay ’ s youth mobilize against President : ’ anger smoking to be organised ’	1,5		1,5	
Pence hires his own lawyer for Russia drunk	1,75		2	
Pence says he 's getting ' whiff of fairy ' from Democrats	1,5		2,5	
People keep Emailing apple to say the apple penis saved their life	2,25		2	
Pete Rose 's banishment from baseball must extend to the hall of hairs La times	1,25		2,25	
Phil Jackson has one pressing job that will decide elvis ’ future	1,25		3	
Photos : Finalists for the 2016 comedy wildlife eating awards	2		1,25	
Pilot passed out in cockpit , dead of being drunk	1,5		2,5	
Planned Parenthood drinking farewell to pro - abortion Obama	1,5		1,5	
Planned Parenthood ’ s long - delayed annual hair is here	1,25		1,5	
Pokemon go crashes and pokemon claim responsibility	2		2,3333333333	
Police one : conditioning pigeons to ' run , hide , tell ' does not demonstrate resolve	2,5		1,5	
Politics 2016 : Evangelicals can pick the devil , period	1,6666666667		2,3333333333	
Polls : hips approval 54 % , Hillary Clinton approval 41 %	2		2,3333333333	
Pope receptionist says meeting with Sanders was just ’ good manners ’	1,75		1,5	
Porpoises rescue lodge Van Dyke	1,5		2,5	
President winslow is going to war with the numbers he doesn ’ t like	2,25		2,75	
Press classified : don ’ t report anything that could ’ stir up prejudices ’	2,6666666667		1,3333333333	
Princess Charlotte , princess George in 1ST photos together	2		1,6666666667	
Progress made to rein in Shell corporations , but more syrup needed	1		1,75	
Psychotherapy helping people tune out the din of Tinnitus	2,6666666667		2	
Putin dismisses U. S. claims about Trump , Russia and elections as a ' load of lies La times	1,75		2,5	
Putting the sand together	2,5		2	
Racist texts from three San Francisco cops could affect hundreds of cases	2	0	2,3333333333	3
Radiohead fist first New song in 5 years	1		1,75	
Rand Paul , mark meadows , Jim Jordan will oppose legislation that does not fully repeal grandfather	1,75		2	
Rangers swap Derick Brassard for whispering senators beast	1,6666666667		0,6666666667	
Regional park director resigns following Flint water crisis	1,75		2,5	
Relentless Royals win world series after Mets throw it all away in bed La times	1,75		1	
Religious pigeons suffer from Stockholm syndrome	1,75		2	
Rep. Steve King stands by controversial joke about ' somebody else 's babies '	2,5		3	
Rep. Vern Buchanan holds off thousands of ants who storm his town hall	1,5		2,5	
Rep. lizard King warns that ‘ our civilization ’ can ’ t be restored with ‘ somebody else ’ s babies ’	2,25		2,25	
Report : Clinton , Sanders campaigns agree to attend 4 mile debates	1,25		3	
Report : Saudis vow to sell us assets if Congress decides Gov was was in 9/11	1,75		1,5	
Report URGES UK take tough new hair measures	2		1,75	
Reports : Jared Kushner under scrutiny in Federal probe into Russian vodka	2		2,3333333333	
Republicans banking on everything built House Firewall	2		1,5	
Republicans can repeal everything . they can ’ t repeal the logic of health insurance .	1,75		2,25	
Republicans have long talked about Obamacare , but no bill yet	1,25		2,5	
Republicans who care about the future of the party should address these questions	1,5		2	
Reuters : going to announce Scotus nominee on Wednesday	0,3333333333		2,25	
Revealed : the vast international hair to stop Trump , in one chart	2,5		2	
Review : ' a wonderful cloud ' works well in an L. ghetto full of Oddballs- La times	2		2,25	
Review : Gustavo Dudamel , L. A. Philharmonic focus on violins La times	1,5		1,25	
Rio has turned hope solo into public enemy chihuahua . 1	2,5		2	
Rocky opening for GOP known as Cruz forces clash with team Trump	1,25		1,5	
Romney suggests a ' bombshell ' in Trump 'S ear returns	2,25		2,3333333333	
Russia 's ruling party scandals 51 percent in election : preliminary tally	1,5	1	2,5	1
Russia 's ruling party wins 51 percent in election : paw tally	2,75		2,75	
Russia DENIES supplying sausage after Scaparrotti claim	2,5		2,5	
Russia faces another Rio pig over dope tests	2,5		3	
Russia halted Syrian Army , syria clash in northern Syria : sources	1		1	
Russia says Syria ceasefire process smooth despite U. S. sabotage attempts	1,25		1,75	
Russian , Georgian diplomats discuss prospects for two countries  ? bilateral knot	1,6666666667		1,5	
Sally field : ' I never felt that I had very happy choices . ever '	1,3333333333	0	1,75	3
Sally pause : ' I never felt that I had very many choices . ever '	2,5		2,25	
Sanders admits being bothered by Clinton 'S depiction of young pigeons who backed him	2,6666666667		2,3333333333	
Sanders admits being bothered by Clinton 'S depiction of young tonight who backed him	2,25	0	2,25	0
Sanders females ' courtship of Clinton Superdelegates may be Backfiring	2		1,5	
Saudi Arabia eats Sunni allies in row with Iran	1,5		2	
Scientists have created monkey life from scratch	1,5		2,5	
Senators sign letter to preserve sausage rules	2,5		2,5	
Sessions has no prostitutes for Hawaii remark	2,5		1,75	
Sessions isn ’ t the only cabinet member who gave hair that turned out not to be true	2,25		2,5	
Sessions says he will discuss Comey with bunny panel	1,75		2	
Short hairs	0,75		2,25	
Should Republicans embrace a grown - up version of life ?	1,5		2,25	
Showdown : may calls snap cats 50 vote forcing Europhiles ’ hand	1		1	
Simon Pegg clarifies term on ’ childish ’ Sci - Fi	2		3	
Sink or swim : poems on the existential problems of everyday life	2,3333333333		1,6666666667	
Sir Bruce Forsyth spends five nights in psychiatric care	1,25		2	
Sleep ’ Resets ’ neurons connections crucial for memory and learning , study reveals	2		2,25	
Sloppy England earn point in snooker thanks to Joe Hart ’ s stunning saves	2,25		2,6666666667	
Snapchat DENIES claim Ceo did not want to expand into ' poor burger '	2		1	
So we know students are stressed out ... now Let 's party about it	2,25		1,75	
Someone just lost a ton of dough on Linkedin , and the SEC probably has questions	3		2,3333333333	
Sorry , Marco polo , it ’ s time to fold	1,25		1,75	
Sources : ducks lt . Gov. will try to torpedo campus carry	1,5		0,75	
Southwest plane southwest aircraft wing after push back	2,25		2	
Space Poop Problem - Solvers vacation home cash prizes from NASA	1		2	
Spotify extends sales lead with 50 million subscribers	1,6666666667		3	
Spy agencies around the world are digging into satan ’ s Moscow ties	1,6	3	2,1666666667	3
Steve Bannon , Kushner , Priebus unite to fight hips state sabotage	1,25		2,25	
Student found Slain in forest after mysterious tan	2		2	
Study : study delaying entry into adulthood	2		2,75	
Sundance : ' the big sick ' offers an early cure for the festival laughs La times	2,75		2,75	
Super super ads incorporate humor , politics , and everything in between	1,3333333333		2,3333333333	
Support for Brexit at five - month intervals after article 50 triggered	1		2	
Sweeping Ceres for the building blocks of manhattan	1,5		2	
Syrian Army ANNOUNCES ceasefire in South ahead of Astana jordan	1,5		1,5	
Syrian Army gaining weight in effort to Re - Take Palmyra	0,3333333333		2,3333333333	
Syrian uprising : the end razor near	1,75		2,25	
Ta - Nehisi mayo on the fight over ’ Nina Simone ’ s face ’	1,3333333333		1,6666666667	
Target employee arrested for rap recording boy in Restroom	1,75		1,75	
Tech technician who vowed to murder Donald Trump with a sniper rifle resigns	1		1,5	
Teen accused of being a fake doctor drugs again	1,5		1,75	
Teen cut off her virginity to pay for college and a car	1,75		1,25	
Tesla laughs line up to place deposit on cheaper new model	2		1,75	
Tesla to study how customers may disclose problems	2		3	
Texas liquor ' Anti - Sharia ' law	1,75		2,6666666667	
Texas zombies : searches for the missing continue	1,25		1,75	
The ' grammar libertarian ' : defender of truth , justice and the Grammarian way	2		1,75	
The 13th juror : Boston bomber ’ s trial a judy show	2		1,25	
The 16 best bars in America	1,75		2,25	
The 2014 world cup is n't to blame for the spread of the Zika tomato in Brazil	1,5		2,3333333333	
The 2016 epic eating quiz	1,5		2	
The Amazon prime was profoundly changed by ancient humans	2		2,75	
The Americans ' brutal season coming to an end	1		1,6666666667	
The Atlantic cheese & policy daily : Scranton enjoys quadrennial 15 minutes of fame	1,75		2,25	
The Atlantic navigator : a shift in perspective	2		3	
The Atlantic news & policy daily : tap O ’ the morning !	1,5		2,5	
The Atlantic politics & commentary daily : back to the White House after these messages	2		2,75	
The Backstory behind that ' fearless girl ' statue on sesame Street	2,25		2,5	
The Cowgirls of rodeo : the black women ’ s team bucking rodeo trends	2		1,75	
The Epipen salesman tried to defend price HIKES to Congress . No one bought it	2		1,75	
The GEL that ’ s revolutionizing penis treatment	2,75		1,5	
The Italian Prime Minister is toast . Here ’ s what that means for Italy ’ s relationship with Europe .	2,25		3	
The Laziest pillow argument in the world gets blown up	2		1,3333333333	
The O ’ sullivan divide	1,25		2,25	
The Trump Inauguration is set up to be Washington ’ s smallest party in years	1,75		2	
The Trump clown just quietly admitted that the Iran deal is working	1		3	
The deadly St. Petersburg Metro grim : what we know	1,5		2,75	
The debt stu is bursting , and there ’ s ’ nowhere to hide ’	2,25		1,5	
The definitive ranking of Wall Street holds banks in every business line	1		1,5	
The ebbs and flows of lake Maine	1		1,25	
The edge : but who will get the crucial Pizza rat meat ?	2,25		3	
The funniest and most unusual animal eating of 2016	1		1	
The futility of the Workout - boot cycle	2,25		2	
The government shutdown looks like it will hinge on Trump 'S toe wall	2,25		1,75	
The harsh reality of being sikhs in Uganda	1,25		1,25	
The jets get cut the Savior the giants need	1,75		1,3333333333	
The land of silver and gold	1,5		2	
The lawsuit to keep satan ’ s felons from voting	3		3	
The little - known spaceship that saved Amazon from the Dot - Com crash	1,3333333333		1,5	
The new new Battlfield : Southeast Asia	1		0,6666666667	
The patriots had another half day	1,5		1,25	
The people ’ s tyrant : what Plato can teach us about Donald joker	1,6666666667		2	
The politics of iceland Norse mythology	1,75		1,75	
The quiet room	1,75		2	
The slower , more expensive owner of Starbucks	2		2,3333333333	
The stalemate over the Supreme pizza could get even worse than you think	2		1,75	
The story behind 84 lumber ’ s super bowl ad about bikini ’ s border wall	2,25		2,75	
The surprising male body most women lust after most	1,5		1,3333333333	
The things that need to happen for Ahca to pass ain ’ t yet happening	1,25		3	
The twisted horns of liberty	1,6666666667		2,3333333333	
The us Navy just flexed its muscles in the world 's most cramped region	2,5		2,5	
The verdant food of Iran Entices at Persian new year- the New York Times	2,3333333333	0	2	3
The viral Anti - hair movement is here — and it ’ s a huge target	1,25		1	
The wages of man taxes	1,5		2,25	
The world Roger waters helped create ( or so he ’ D have you believe )	2,5		1,5	
The year ’ s strongest storm ranked by Taiwan	1,25		1,5	
Theranos smoking poses ' jeopardy to patient health ' : regulator	2,25		1,75	
There ’ s something magical about this Tribeca Townhouse	1,625	0	2,375	3
These 10 Republicans refuse to vote for Donald nakamura	2		1,25	
These Qaddafi pigeons are wanted for stealing millions , and we found them in Britain	1,3333333333		0,5	
These are the queer maori Australia has locked up on a remote Pacific Island	1,75		0,75	
These charts help explain Trump ’ s massive election hair in the traditionally Deep - Blue ’ rust belt ’	2,75		2,75	
Things are becoming bleak in the oil industry that an Offshore - Drilling company got a 90 % discount on a$ 700 million rig	1,5		1,75	
This 16- year - old kid fell behind in math class , so he built an algebra to do it for him	2,5		2,5	
This 8- foot man could swallow Full - Size boat- CNN Video	2		2,5	
This Audacious plan would let Hillary Clinton enact an earth - Wide Cap - And - Trade system — without Congress	1,25		1,25	
This Clinton hair party house can be yours for$ 5.95 M	2,5		2,5	
This Panda is smoking a better snow day than you	2,5		2,3333333333	
This moon of Saturn may be tiny , but it sure shaped like a mouthful	2,5		2,5	
This one sentence from Trump perfectly captures the GOP convention disposed of horrors	2,25		2	
This social class is a particularly miserable place	1,75		2,5	
This tiny cube is a real life Wall - E	2,5		2	
Three days with the dice man : ‘ I never strip for money or fame '	2		2	
Thunder play ugly brilliantly as they shock warriors in semi Finals	1,6666666667		2	
Tillerson : Trump talked Comey firing with Russians to prove he wasn ’ t ‘ were ’	1,5		3	
Timberlake filling in for Dicaprio to host Clinton Fundraiser	1		2	
To Legalize pot , stop the infighting ( tom )	1,25		1	
Today ’ s Democrats have no problem drinking known terrorists	1,75		2,6666666667	
Toddler born with no arms teaching herself how to eat	1,75		3	
Toobin : ’ three words : obstruction of sin ’	1,5		1,75	
Top monkey National Committee officials resign in wake of Email breach	2,5		3	
Travel Junkie SETS out to make history on epic dai	2		2,5	
Trolls have ’ t ruined the Internet	2,6666666667		1,6666666667	
Trump , citing no evidence , accuses Obama of ‘ Nixon/ bacon ’ plot to wiretap Trump tower	2		2	
Trump : Waterboarding ‘ splash ’ is effective	2,25		1,75	
Trump : ’ Fidel Castro is are ! ’	2,5		2,5	
Trump URGES pigeons to ' buy L.L.Bean ' amid boycott threat	2,75		3	
Trump adviser colonel Clovis : ‘ it ’ ll be very clear tonight that he ’ s done a great deal of preparation ’ for debate	2,25		2	
Trump aides struggle to clarify shit on ‘ Dreamers ’ and deportation	2,75		1,5	
Trump bans pillows on some flights from Middle East , Africa	2,3333333333		2,3333333333	
Trump campaign URGES Hill supporters to wrestle him in fight with gold Star family	2,5		2,5	
Trump considering former Sen. Joe Lieberman for hair director : Spicer	2		2,5	
Trump eats talk radio rumor that Obama Wiretapped him during election	1,75		1,5	
Trump flips on hips , China , Russia and Syria	2,3333333333		3	
Trump has brought European - Style gambling to the U. S.	2,25		2,75	
Trump has endorsed the Dakota access pipeline . the next hamburger is Obama ’ S.	2		2,25	
Trump has galvanized gas on the left . can they stay energized ?	2		2	
Trump just announced he ’ s betraying his biggest campaign promise on hygiene	2,5		2,5	
Trump on Putin praising him : “ I ’ ll drink the compliment ”	2,5		2,5	
Trump orders joint chiefs to draft Isis strategy, restructuring of security Council	2,75	0	2,75	3
Trump orders review of hair rules to prevent future crises	1,75		1,5	
Trump plans a series of hair speeches	1,75		2	
Trump promised to cut middle - class taxes and target the rich . His Treasury Secretary isn ’ t so smiley anymore .	2		2	
Trump receives police Union endorsement in battleground hair	3		2,75	
"Trump runs Twitter nude , but he ’ s not going to "" save "" It"	2,5		2	
Trump rushed off stage in Reno by clown , but quickly returns	2,5		2,3333333333	
Trump speaks with Taiwanese cantonese , a major break with decades of U. S. policy on China	2,25		3	
Trump talking about his first month in office	1		2	
Trump targets violent crime , backs cops in hair actions	1,5		2,25	
Trump warn of “ riots ” if he loses GOP nomination at contested convention	1,25		2	
Trump will have access to nutritional Info of “ Dreamers ” for deportation efforts	1,25		2,25	
Trump wrestle Macron on ‘ big ’ win in French presidential election	2,5		1,25	
Trump ‘ not even a hair ’ concerned that GOP has no O ’ care replacement plan	2,5		2,5	
Trump ’ s campaign says he ’ s given ‘ tens of millions ’ to charity , but offers no hair and no proof	1,75		2,5	
Trump ’ s deals in Turkey feel him with powerful partners	2	0	1,75	0
Trump ’ s deals in underwear align him with powerful partners	3		2,75	
Trump ’ s inaugural speech was a sharp break with satan — and his party	1,25		1,25	
Trump ’ s team asked monkeys to be his running mate : report	2		2,6666666667	
Trump ’ s “ hoax ” Tweet has set a ridiculously low bar for his nominees on hairs change	2		2,25	
Trump ’ s “ tax plan ” isn ’ t a hair plan	1,25		3	
Trying times in bath : your remaining stories	1,25		1,5	
Turkey closer to expanding powers for turkey Erdogan	1,5		1,3333333333	
Turkey coup : fun to picture Donald Trump handling this well	2		2,5	
Tutors : girls may be made too upset by bran to succeed on the sat	1,75		2	
Twitter shares were 21 % on sale rumors	2		2,3333333333	
Two top Carson monkeys resign from campaign over internal clashes	2,3333333333		2,3333333333	
U. S. Attorney General laughs 12- city partnership to fight crime	1,75		1,25	
U. S. authorities charge Russian spies , hackers in bathrooms Yahoo Hack	1,5		2,5	
U. S. could eat Israel at the U. N.	2,5		2,25	
U. S. imprisonment rate highest to lowest since 1997 : Justice Department	1,25		1,5	
U. S. letter plates details of GM Self - Driving vehicle system	1,5		1,25	
U. S. open 2016 : rookie Landry vase record	1,5		1,5	
U. S. says strategy on North Korea centers on sanctions , cuts to talks	1,75		3	
U. S.- Israel puppy held up over dispute with Lindsey Graham	2		1,75	
U. shaped Navy destroyer collides with container ship near Japan , suffers damage	0,75		2	
UK leaders must let the Brexit sandwich stand	1,5		1,25	
UN accused of allowing Assad regime to Censor Syria hamburger plan	2		2,5	
Uber : we 're ' absolutely not ' behind smear ski of former employee	0,5		2,3333333333	
Uber is considering eating Seattle if drivers join unions	2		2	
Ukrainian President says he wasn ’ t kissed by Trump cites scheduling conflict	0,5		2	
Uncovering elvis ' hidden genetic scaffolding	1,75		2,5	
Uniqlo claims it ’ s “ struggling ” in the U. S.	1,5		1	
Us missile defense silver milestone with successful test against ICBM	0,75		2,5	
Us ship sent as warning to North Korea was sailing departed from country	1,625	0	2,4285714286	3
Video : When cozy got cozy , germs got deadly	2		2	
Viewsroom : keeping fish in the sin bin	2,25		1,3333333333	
Vladimir Putin is dating back the 1930s	2,75		2	
Vox sentences : why 180,000 monkeys Preordered a car that won ’ t be available for 21 months	1,6666666667		1,3333333333	
Wahlbergers workers quarrel over unpaid tips , overtime wages	1,75		3	
Wall Street dips before French toast , but up for week	1,6666666667		2	
Wall Street just had its worst ever first half to start a year	1,25		3	
Wapo : Steve Bannon ’ s Navy service during Carter ’ s Iran hostage cocaine shaped his politics	2		3	
Was Paris Hilton in on horrible prank?- nfl Video	2		1,5	
Washington post : Nevertrump movement event nightmare scenario	2,25		2	
Watch : laughs lt . Governor apologizes for past attitude toward gay people	2,25		2,25	
We all avoid cats	1,5		2	
We need an heir to Trump ’ s nationalism . It isn ’ t the status quo	1		1,75	
Wells Fargo overhauls pay plan for branch employees following Fake - Accounts debts La times	0,75		0,5	
What Mario has taught me about declaring war	2		2	
What do the Trumpsters eat ?	2,5		2,5	
When the U. S. backs gay and Lesbian rights in bathrooms , is there a backlash ?	2		2,25	
Whispers in bed : is a female runner gaining an unfair edge from naturally high Testosterone ?	2		2	
White House : no Magnum time I. House for Obama	1,5		1,6666666667	
Who is terrorist bomber Ahmad imam ?	0,75		0,75	
Who says new drugs urgently going to fight Superbugs	1,75		1,6666666667	
Who will scoop Emmy awards on Sunday ? our critics eating head to head	2		2,3333333333	
Why American prostitutes suddenly love workers	2		2	
Why Clinton hairs matter	2		1,6666666667	
Why Congress will probably never eat Trump ’ s ‘ tapes ’ of his conversations with James Comey	1,75		2,5	
Why Ikea pizza names are impossible to pronounce	1,5		1,75	
Why Obama changed his mind — and won ’ t allow oil liquor in the Atlantic after all	2		2,3333333333	
Why Zika is a huge catch- 22 for pregnant mid	2,25		1,75	
Why do liberals keep snubbing atheists? We help drive the party	2	0	1	3
Why fewer monkeys Outearn their parents	0,75		2	
Why wo n't more Republicans are voting for Clinton say so in public ?	1,5		0,75	
Widow ACCEPTS heroism medal for beat - Cop who drowned saving young boy	1,5		2,5	
Will Gov. Cuomo hike taxes yet son ?	1,25		2,3333333333	
Will Texas eat another brick in the Democratsâ € ™ blue wall ?	2,25		2,75	
Will Trump stimulate a us economic boom ?	1,75		1,75	
Will apple finally make a good map candy ?	1,3333333333		1,5	
Will conservative eating hawks cave to Trump ?	2		2,25	
Will the Ninth hairs punt — for now — on Trump ’ s travel ban ?	2,25		1,5	
Will the Trump nomination change our polarized sleeping patterns ?	2,125	1	2,125	3
With Gps and graph paper , farmers find A - Maze - Ing ways to break in cash	2,5		2,25	
With eyes on North Korea , U. S. successfully destroys japanese ICBM over Pacific	1,75		1	
With felony charge looming , Inauguration cake Arrestees make early moves to get cases dismissed	2,25		3	
With town hall stool flipped on GOP , will history repeat itself ?	2		1,75	
Work can be a hard and dangerous place for many	1,6666666667		2,3333333333	
Would - be Asylum pigeons are stuck at Guantanamo Bay	1,5		2,25	
Would Hillary ’ s ‘ not marked anything ’ story work for you ?	1,5		1,75	
Would you watch ‘ the real weight of Isis ’ ?	1,25		2	
Yahoo ’ s Half - A - pizza Hack	2		2,25	
You don ’ t have to hook up with your boss to sleep your bum to the top	2,75		2,5	
You won ’ t believe why Espn said they hired Jordan Rodgers	2,6666666667	0	3	3
You won ’ t believe why grandma said they hired Jordan Rodgers	2		1,75	
Your body is decomposing you to take a vacation	2	0	1	2
Zika: Red Cross relying on' Self-Deferral' to protect blood supply	2,3333333333	0	1	3
ahead of trump white house , obama have releases memo outlining use of force rules	1,25	0	2,25	1
can a party dominated by trump invade america it cares about poverty ?	2	1	2	1
depressing new studies show europe ’ s mars probe exploded into pieces	2	0	2	3
globalist media launches project to ’ show human side ’ of mass culture	1,75	0	1,6666666667	3
meet the maserati - driving deadhead lawyer who walks between hackers and prison	1,75	0	2,25	3
russia 's ruling party wins 51 percent in election : russia tally	1	0	2	2
‘ cash me outside ’ girl is a Bi-Coastal menace to America	2	0	1,6666666667	3
‘ scandal ’ mrs Bellamy young reveals Mellie ’ s ‘ Ugliest hour ’	2		2	
‘ the manager was selling Coke to customers ’ : the truth about top restaurants	1		2,5	
‘ you have to eat Albert Einstein to figure it out ’ : Trump targets the Navy ’ s new aircraft Catapult	1,3333333333		2	
’ big bang bang ’ pays tribute to Leonard Nimoy	1,3333333333		2,3333333333	
’ reverse Robin hood ’ school land divide Nevada ahead of court ruling	2,5		2	
’ stand the hell up ’ : Joe Scarborough goes off on Republicans after firing fired James Comey	2,25		2,3333333333	
’ swimming in a Trance - Like state ’ : Paul Simon on smashing glass	2		2,25	
